feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
NADSYN.PWY	Treatment	L. kimchicus	1.14116679597723	0.821063205358863	201	154	0.176961796549376	0.308621596172146
PWY.1361	Age.category	D15	0.348479360125992	0.257237690847543	201	21	0.17712868552236	0.308621596172146
PWY.3001	Age.category	D15	-0.319209761261788	0.23524085375869	201	201	0.176499322823364	0.308621596172146
X1CMET2.PWY	Age.category	Adult	0.404382044927662	0.299552873188608	201	201	0.178751996311885	0.310720076566148
ARGSYN.PWY	Age.category	D15	-0.300781165709131	0.222880972073716	201	201	0.178852241231476	0.310720076566148
PWY.5667	Age.category	D15	0.0825985024533109	0.0613220531564087	201	201	0.179703231347693	0.311294888456134
PWY0.1319	Age.category	D15	0.0825985024533109	0.0613220531564087	201	201	0.179703231347693	0.311294888456134
PWY.6703	Age.category	D15	-0.406567878615757	0.302236552593364	201	200	0.180252006964685	0.311344375666274
PWY.7200	Age.category	D15	0.259607095823742	0.192953206658214	201	201	0.180113811765517	0.311344375666274
PWY.6404	Age.category	Adult	-0.929934710931266	0.691748153328835	201	163	0.180550982770101	0.311384254480794
PWY0.781	Age.category	D15	-0.321774113239931	0.239495447526013	201	201	0.180795369142984	0.311384254480794
PWY.5695	Treatment	L. kimchicus	0.664259083170735	0.4834806656958	201	201	0.181152266598787	0.311550665400501
PANTOSYN.PWY	Age.category	Adult	0.43131843355239	0.322095320105575	201	201	0.182253073440029	0.312742037306418
PWY.5989	Treatment	L. kimchicus	1.03097573839866	0.753052638606635	201	194	0.182367537209591	0.312742037306418
PYRIDNUCSYN.PWY	Age.category	Adult	0.492685556048878	0.37024107088305	201	201	0.184995209331905	0.316794371345194
PWY0.1415	Treatment	L. kimchicus	0.8988973791193	0.662494215641211	201	200	0.186375027466562	0.318701296967821
ARG.POLYAMINE.SYN	Treatment	L. kimchicus	0.829128183417661	0.618838321134052	201	196	0.191816430042765	0.320711991780047
BRANCHED.CHAIN.AA.SYN.PWY	Age.category	Adult	0.475307364140973	0.363410289714005	201	201	0.192602379340866	0.320711991780047
FASYN.INITIAL.PWY	Treatment	L. kimchicus	1.0191667840788	0.76017229245536	201	194	0.191299753426108	0.320711991780047
HCAMHPDEG.PWY	Treatment	L. kimchicus	1.05317311509219	0.782786919360572	201	163	0.190827762678749	0.320711991780047
P4.PWY	Age.category	D15	-0.31603538937139	0.240298811096747	201	201	0.190132697351682	0.320711991780047
PANTOSYN.PWY	Treatment	L. kimchicus	0.56672161950049	0.424722702165335	201	201	0.193876735430145	0.320711991780047
POLYAMSYN.PWY	Age.category	D15	-0.4300972009942	0.329882777896164	201	196	0.193981188010655	0.320711991780047
PWY.5100	Age.category	D15	0.20112712226488	0.153288050259515	201	201	0.191127144594993	0.320711991780047
PWY.5430	Age.category	D15	-0.694119119806974	0.526519916302937	201	142	0.189061835495936	0.320711991780047
PWY.5686	Age.category	D15	0.0856013258533268	0.0648617381752491	201	201	0.188611259207005	0.320711991780047
PWY.5855	Age.category	D15	-0.504487306090154	0.386199415699926	201	198	0.193116708480016	0.320711991780047
PWY.5856	Age.category	D15	-0.504487306090154	0.386199415699926	201	198	0.193116708480016	0.320711991780047
PWY.5857	Age.category	D15	-0.504487306090154	0.386199415699926	201	198	0.193116708480016	0.320711991780047
PWY.6282	Treatment	L. kimchicus	1.00037013861723	0.750542521224531	201	194	0.19382191804697	0.320711991780047
PWY.6608	Treatment	L. kimchicus	0.902593952496547	0.668346477432436	201	198	0.188272341213132	0.320711991780047
PWY.6690	Treatment	L. kimchicus	1.05317311509219	0.782786919360572	201	163	0.190827762678749	0.320711991780047
PWY.6700	Age.category	D15	0.33594491310828	0.255696565556797	201	201	0.190535928718532	0.320711991780047
PWY.6708	Age.category	D15	-0.504487306090154	0.386199415699926	201	198	0.193116708480016	0.320711991780047
PWY.7198	Age.category	Adult	-0.951830962917458	0.729005365601091	201	62	0.193363137649381	0.320711991780047
PWY.7210	Age.category	Adult	-0.907229376106953	0.688046349024583	201	62	0.189019163576863	0.320711991780047
PWY.7219	Age.category	D15	0.0867276396325842	0.0661269085750786	201	201	0.191368430747781	0.320711991780047
