feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K13641	Age.category	D15	-0.670469148388619	0.391297564094821	201	198	0.0883633790175695	0.235253732300264
K16961	Treatment	L. kimchicus	0.899013859775742	0.503586419578946	201	64	0.088425760656874	0.235302447849648
K16645	Treatment	L. kimchicus	1.39028374631723	0.784036495223049	201	184	0.0884511055022329	0.235338233899821
K02417	Age.category	Adult	0.833771787230625	0.486778970672995	201	201	0.0884950056498996	0.235387542837835
K09729	Treatment	L. kimchicus	1.38373348603867	0.781927081703079	201	109	0.0885053353365593	0.235387542837835
K18275	Age.category	Adult	0.822081808882226	0.47998543581561	201	55	0.0884929985668739	0.235387542837835
K00172	Age.category	D15	-0.877493691886926	0.512429242334097	201	142	0.0885178415473721	0.235389157345089
K02445	Age.category	D15	-0.837119542136815	0.488831654117513	201	185	0.0885487000382574	0.235439567763012
K07137	Age.category	D15	-0.798870715042838	0.466533381936374	201	190	0.0885647899468392	0.235450702154062
K03382	Treatment	L. kimchicus	0.555840619959782	0.313753267280754	201	36	0.0886251882658388	0.235459782501893
K07213	Age.category	Adult	0.876615139486808	0.51197256928109	201	200	0.0886016579125444	0.235459782501893
K08989	Treatment	L. kimchicus	1.29615880613241	0.735147633538277	201	190	0.0886430773760469	0.235459782501893
K10943	Treatment	L. kimchicus	1.3995727578149	0.790906611644777	201	154	0.0886460951922876	0.235459782501893
K16147	Age.category	D15	-0.653505405021398	0.38173263944891	201	200	0.0886365971218899	0.235459782501893
K18353	Age.category	D15	-1.01088858369863	0.590475308830536	201	144	0.0885868410326622	0.235459782501893
K18991	Age.category	D15	-0.963510110604297	0.562912489551324	201	138	0.0886515246220859	0.235459782501893
K12440	Treatment	L. kimchicus	1.02789191178397	0.579615823284621	201	126	0.0887117246456245	0.235588043621928
K00373	Treatment	L. kimchicus	1.43230534355805	0.809439290439643	201	201	0.0887861595285632	0.23565546194531
K05795	Treatment	L. kimchicus	1.52864979759883	0.866051501251967	201	185	0.0887765225111217	0.23565546194531
K07150	Age.category	D15	0.41939231212647	0.245092878541104	201	201	0.0887938955070178	0.23565546194531
K07284	Age.category	D15	0.337202978403813	0.197072465423608	201	201	0.0887840377740846	0.23565546194531
K08714	Treatment	L. kimchicus	1.45588663308234	0.82223146456886	201	135	0.0887966744181753	0.23565546194531
K13069	Age.category	D15	-0.913930406373152	0.534282146518043	201	122	0.0888147987321638	0.235671944804784
K00508	Treatment	L. kimchicus	1.32451368351062	0.750137575097911	201	198	0.0889955698033839	0.235960450172802
K00997	Treatment	L. kimchicus	-0.197429684407953	0.110860016685217	201	201	0.0889820813758121	0.235960450172802
K01776	Treatment	L. kimchicus	-0.125910294325582	0.0713515221295172	201	201	0.0890189485208583	0.235960450172802
K03220	Age.category	D15	-1.0117822793733	0.59182459031263	201	138	0.0889956312826883	0.235960450172802
K06183	Age.category	D15	0.388135807150832	0.2269720547288	201	201	0.0889703900843919	0.235960450172802
K09004	Age.category	Adult	1.19515518750354	0.698858199278383	201	191	0.0889783464261246	0.235960450172802
K12296	Age.category	Adult	1.12942391342021	0.660404090912234	201	75	0.0890112505049066	0.235960450172802
K16436	Treatment	L. kimchicus	0.641617587014208	0.360026110047078	201	34	0.0889644774297184	0.235960450172802
K02076	Treatment	L. kimchicus	-1.03648094436395	0.585790449237483	201	201	0.0890790616660077	0.236033625373722
K02251	Age.category	D15	-0.632448945358391	0.370012892440128	201	76	0.0890746468283511	0.236033625373722
K07043	Treatment	L. kimchicus	1.42405453860011	0.806443509414453	201	201	0.089082349966647	0.236033625373722
K01699	Treatment	L. kimchicus	1.76205478788768	0.994370124030168	201	147	0.0891194385689189	0.236100272367799
K13920	Treatment	L. kimchicus	1.76168777296037	0.994263104985536	201	147	0.0891490826016591	0.236147181578203
K16049	Treatment	L. kimchicus	1.46179235567769	0.826075404909984	201	183	0.0892138817174037	0.236287188128756
K03618	Age.category	D15	-0.826245760905094	0.483630639405191	201	121	0.0892492312583865	0.236349169043293
K15736	Age.category	D15	-0.888245076635982	0.519995842003619	201	175	0.0893309395969097	0.236533883965476
K18975	Age.category	D15	-0.646111132041749	0.378392612874972	201	61	0.0893536618274143	0.236562384672097
K01681	Age.category	D15	-0.532432062810164	0.31172186870111	201	201	0.089374884103076	0.236573051629811
K18226	Age.category	Adult	-1.23147631676688	0.720997531145784	201	150	0.0893816089314127	0.236573051629811
K18991	Treatment	L. kimchicus	1.47096769650227	0.83357740876489	201	138	0.0893976232376922	0.23658378366395
K02536	Age.category	D15	-0.61305042905259	0.359061171578472	201	201	0.0894743637672731	0.236723534043627
K16711	Age.category	D15	-0.81475279907239	0.477334873758788	201	48	0.0894660256133751	0.236723534043627
K11517	Treatment	L. kimchicus	0.503056141438739	0.28474312490607	201	51	0.089525563147187	0.236827318825576
K03561	Age.category	D15	-0.615519555059813	0.360613724100266	201	200	0.0895522315424064	0.236837096896177
K09820	Treatment	L. kimchicus	1.60593338132122	0.911465798663094	201	174	0.0895532041645639	0.236837096896177
K01602	Treatment	L. kimchicus	1.5884777001927	0.900108393858774	201	163	0.0895737706782676	0.236859822424474
K01488	Treatment	L. kimchicus	1.32064200274791	0.748705337171285	201	201	0.0895904631926042	0.236872299234977
K00573	Treatment	L. kimchicus	1.40807003972082	0.799147951511136	201	200	0.0896514565045697	0.236875265469934
K00641	Treatment	L. kimchicus	1.25339631122672	0.710679794118235	201	201	0.0896227857774055	0.236875265469934
K00988	Age.category	Adult	-0.757171737734576	0.443921986092175	201	30	0.0896509751709657	0.236875265469934
K05833	Age.category	D15	0.41097687390112	0.240807245811343	201	201	0.0896310204920609	0.236875265469934
K11785	Age.category	Adult	-1.24139331654575	0.727470922459643	201	171	0.0896504972531843	0.236875265469934
K00463	Treatment	L. kimchicus	0.95987727892671	0.542058040533069	201	58	0.0897195886313323	0.236970869017971
K01711	Age.category	D15	-0.593594511982232	0.347921844823636	201	201	0.0897239115118389	0.236970869017971
K12152	Age.category	Adult	1.4409403729163	0.844502533493351	201	162	0.0897013391601125	0.236970869017971
K19776	Age.category	Adult	1.43919749410639	0.843600516057594	201	133	0.089735556557154	0.236970869017971
K05600	Age.category	D15	-0.761461626969426	0.44648434555912	201	63	0.0897616892700766	0.236976609787889
K17640	Treatment	L. kimchicus	1.62630090502179	0.918320328575471	201	119	0.0897616873537626	0.236976609787889
K15856	Age.category	Adult	-1.00558630353912	0.589576683754954	201	178	0.089844202060534	0.237162797592939
K16873	Age.category	D15	-0.738762475128998	0.433286166350816	201	91	0.0898786301807884	0.237222022980168
K00481	Treatment	L. kimchicus	1.37143045194338	0.779016459417327	201	194	0.0899178081115583	0.237262115521255
K09017	Age.category	Adult	1.1123708863213	0.65235334421815	201	188	0.0899165757073233	0.237262115521255
K06891	Age.category	Adult	0.822362776290853	0.482300432242047	201	201	0.0899338548442655	0.237272808286111
K01585	Age.category	Adult	1.02624111084479	0.601929307041655	201	194	0.0899590683091987	0.237307679596289
K08296	Treatment	L. kimchicus	1.29571078701596	0.735908725727226	201	201	0.0900173655575733	0.237410308884121
K15125	Age.category	Adult	1.43067376885346	0.839297287526124	201	163	0.0900219758841267	0.237410308884121
K18306	Treatment	L. kimchicus	1.40236273347118	0.795413146046428	201	123	0.0900347981238447	0.237412473538509
K04750	Treatment	L. kimchicus	1.30080793178274	0.738902255381727	201	201	0.090109312044478	0.237577290532302
K03205	Treatment	L. kimchicus	1.30591719363328	0.744647628604884	201	197	0.0901486198915677	0.237649253557435
K19270	Age.category	Adult	0.976712610040465	0.57322847098532	201	194	0.0901638709489469	0.237657787489949
K01565	Treatment	L. kimchicus	0.648055275890508	0.367452484521584	201	39	0.0901968256727393	0.237712977012807
K00992	Treatment	L. kimchicus	1.41352025247606	0.803768805171234	201	196	0.0902342306135271	0.23774820857709
K07113	Age.category	Adult	0.801506259822447	0.47049318995659	201	201	0.0902282768613694	0.23774820857709
